Entity Name,Gene Symbol,EnsemblId(GRch37),Phenotypes
ACD,ACD,ENSG00000102977,"Dyskeratosis congenita 6, 616553;Dyskeratosis congenita 7, 616553;Hoyeraal-Hreidarsson syndrome"
ACE,ACE,ENSG00000159640,Renal tubular dysgenesis 267430
ACE2,ACE2,ENSG00000130234,Intellectual disability
ACIN1,ACIN1,ENSG00000100813,Intellectual disability
ACO2,ACO2,ENSG00000100412,INFANTILE CEREBELLAR-RETINAL DEGENERATION
ACOT9,ACOT9,ENSG00000123130,Intellectual disability
ACOX1,ACOX1,ENSG00000161533,"ADRENOLEUKODYSTROPHY PSEUDONEONATAL;Peroxisomal acyl-CoA oxidase deficiency, 264470"
ACP5,ACP5,ENSG00000102575,SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION
ACSF3,ACSF3,ENSG00000176715,"Combined malonic and methylmalonic aciduria, 614265"
ACSL4,ACSL4,ENSG00000068366,ALPORT SYNDROME WITH MENTAL RETARDATION MIDFACE HYPOPLASIA AND ELLIPTOCYTOSIS;MENTAL RETARDATION X-LINKED TYPE 63
ACSL6,ACSL6,ENSG00000164398,"Myelodysplastic syndrome; Myelogenous leukemia, acute"
ACTA1,ACTA1,ENSG00000143632,NEMALINE MYOPATHY 3
ACTA2,ACTA2,ENSG00000107796,"AORTIC ANEURYSM, FAMILIAL THORACIC 6;MOYAMOYA DISEASE 5"
ACTB,ACTB,ENSG00000075624,BARAITSER-WINTER SYNDROME;ACTB Haploinsufficiency syndtome
ACTC1,ACTC1,ENSG00000159251,Atrial septal defect 5 612794
ACTG1,ACTG1,ENSG00000184009,BARAITSER-WINTER SYNDROME
ACTG2,ACTG2,ENSG00000163017,Visceral myopathy 155310
ACTL6A,ACTL6A,ENSG00000136518,developmental delay; intellectual disability
ACTL6B,ACTL6B,ENSG00000077080,"Epileptic encephalopathy, early infantile, 76, 618468;Global developmental delay;Intellectual disability;Seizures;Spasticity;epileptic encephalopathy"
ACTN1,ACTN1,ENSG00000072110,"615193 Bleeding disorder, platelet-type, 15"
ACTN2,ACTN2,ENSG00000077522,Multiple structured Core Disease;progressive early-onset muscle weakness
ACTN4,ACTN4,ENSG00000130402,"Glomerulosclerosis, focal segmental, 1 603278"
ACVR1,ACVR1,ENSG00000115170,FIBRODYSPLASIA OSSIFICANS PROGRESSIVA
ACVR2B,ACVR2B,ENSG00000114739,"Heterotaxy syndrome Heterotaxy, visceral, 4, autosomal, 613751"
ACVRL1,ACVRL1,ENSG00000139567,"Telangiectasia, hereditary hemorrhagic, type 2 600376"
ACY1,ACY1,ENSG00000243989,AMINOACYLASE-1 DEFICIENCY
ADA,ADA,ENSG00000196839,ADENOSINE DEAMINASE DEFICIENCY
ADA2,ADA2,ENSG00000093072,DBA;Diamond-Blackfan Anemia
ADAM17,ADAM17,ENSG00000151694,"inflammatory skin;Inflammatory skin and bowel disease, neonatal, 1;Inflammatory skin and bowel disease, neonatal 1, 614328;ADAM17 deficiency;Autoinflammatory Disorders;IBD-1;Early onset diarrhea and skin lesions"
ADAM9,ADAM9,,
ADAMTS10,ADAMTS10,ENSG00000142303,"Weill-Marchesani syndrome 1, recessive 277600"
ADAMTS13,ADAMTS13,ENSG00000160323,"Familial Thrombotic Thrombocytopenia Purpura;Thrombotic thrombocytopenic purpura, familial, 274150"
ADAMTS17,ADAMTS17,ENSG00000140470,"Weill-Marchesani 4 syndrome, recessive, 613195"
ADAMTS18,ADAMTS18,ENSG00000140873,KNOBLOCH SYNDROME 2 608454
ADAMTS2,ADAMTS2,,
ADAMTS9,ADAMTS9,ENSG00000163638,Nephronophthisis Related Ciliopathy
ADAMTSL2,ADAMTSL2,ENSG00000197859,Geleophysic dysplasia 1 231050
ADAR,ADAR,ENSG00000160710,DYSCHROMATOSIS SYMMETRICA HEREDITARIA 1;AICARDI-GOUTIERES SYNDROME ASSOCIATED WITH A TYPE I INTERFERON SIGNATURE
ADAT3,ADAT3,ENSG00000213638,"Mental retardation, autosomal recessive 36 615286"
ADCY5,ADCY5,ENSG00000173175,"Dyskinesia, familial, with facial myokymia, 606703;dystonia;Familial dyskinesia, 606703"
ADCY6,ADCY6,ENSG00000174233,Lethal congenital contracture syndrome 8   616287  
ADGRG1,ADGRG1,ENSG00000205336,POLYMICROGYRIA
ADGRG4,ADGRG4,ENSG00000156920,
ADGRG6,ADGRG6,ENSG00000112414,LETHAL CONGENITAL CONTRACTURE SYNDROME 9
ADGRV1,ADGRV1,ENSG00000164199,"Febrile seizures, familial, 4, 604352;Usher syndrome, type 2C, 605472;Usher syndrome, type 2C, GPR98/PDZD7 digenic, 605472"
ADI1,ADI1,ENSG00000182551,No OMIM or G2P phenotype
ADK,ADK,ENSG00000156110,Hypermethioninemia due to adenosine kinase deficiency  614300
ADNP,ADNP,ENSG00000101126,"MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
ADPRHL2,ADPRHL2,ENSG00000116863,"Intellectual disability, cerebellar atrophy, ataxia and epilepsy"
ADRA2B,ADRA2B,ENSG00000222040,"Epilepsy, myoclonic, familial adult, 2, 607876"
ADSL,ADSL,ENSG00000239900,ADENYLOSUCCINASE DEFICIENCY
ADSSL1,ADSSL1,ENSG00000185100,"Myopathy, distal, 5, 617030"
AFF2,AFF2,ENSG00000155966,FRAGILE X-E MENTAL RETARDATION SYNDROME
AFF3,AFF3,ENSG00000144218,Skeletal dysplasia with severe neurological disease
AFF4,AFF4,ENSG00000072364,CORNELIA DE LANGE-LIKE SYNDROME
AFG3L2,AFG3L2,ENSG00000141385,"Ataxia, spastic, 5, autosomal recessive;Spastic ataxia 5, autosomal recessive, 614487"
AFP,AFP,ENSG00000081051,
AGA,AGA,ENSG00000038002,ASPARTYLGLUCOSAMINURIA
AGK,AGK,ENSG00000006530,SENGERS SYNDROME
AGL,AGL,ENSG00000162688,GLYCOGEN STORAGE DISEASE TYPE III
AGMO,AGMO,ENSG00000187546,"Autosomal recessive primary microcephaly (MCPH); primary microcephaly, developmental delay, short stature and intellectual disability"
AGO1,AGO1,ENSG00000092847,Generalized hypotonia;Global developmental delay;Intellectual disability;Autism
AGPAT2,AGPAT2,ENSG00000169692,Lipodystrophy 608594
AGPS,AGPS,ENSG00000018510,RHIZOMELIC CHONDRODYSPLASIA PUNCTATA TYPE 3
AGRN,AGRN,ENSG00000188157,"Myasthenia, limb-girdle, familial 615120"
AGT,AGT,ENSG00000135744,"Renal Tubular Dysgenesis;{Hypertension, essential, susceptibility to}, 145500{Preeclampsia, susceptibility to}Renal tubular dysgenesis, 267430;Renal tubular dysgenesis, 267430"
AGTR1,AGTR1,ENSG00000144891,"Renal Tubular Dysgenesis;Renal tubular dysgenesis, 267430;Hypertension, essential, 145500"
AGTR2,AGTR2,ENSG00000180772,"Mental retardation, X-linked 88, 300852;X-LINKED MENTAL RETARDATION 88"
AGXT,AGXT,ENSG00000172482,"HYPEROXALURIA, PRIMARY, TYPE 1"
AHCY,AHCY,ENSG00000101444,S-adenosylhomocysteine hydrolase deficiency (Disorders of the metabolism of sulphur amino acids)
AHDC1,AHDC1,ENSG00000126705,XIA-GIBBS SYNDROME
AHI1,AHI1,ENSG00000135541,JOUBERT SYNDROME
AHSP,AHSP,,
AICDA,AICDA,ENSG00000111732,"Immunodeficiency with hyper-IgM, type 2;Hyper IgM syndrome with lymphoid hyperplasia;Immunodeficiency with hyper-IgM, type 2, 605258;Primary Immune Deficiencies;CSR defects and Hyper IgM (HIGM) syndromes;Bacterial infections, enlarged lymph nodes and germinal centers;Predominantly Antibody Deficiencies"
AIFM1,AIFM1,ENSG00000156709,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6;COWCHOCK SYNDROME
AIMP1,AIMP1,ENSG00000164022,"LEUKODYSTROPHY, HYPOMYELINATING, 3"
AIMP2,AIMP2,ENSG00000106305,"Epileptic Encephalopathy;Infantile Spasms;Leukodystrophy, hypomyelinating, 17, 618006;neurodevelopmental disorder with microcephaly, seizures, and spastic quadriparesis"
AIP,AIP,,
AIPL1,AIPL1,ENSG00000129221,LEBER CONGENITAL AMAUROSIS 4
AIRE,AIRE,ENSG00000160224,AUTOIMMUNE POLYENDOCRINOPATHY SYNDROME TYPE 1
AK1,AK1,ENSG00000106992,"Hemolytic anemia due to adenylate kinase deficiency, 612631"
AK2,AK2,ENSG00000004455,RETICULAR DYSGENESIS
AKAP17A,AKAP17A,ENSG00000197976,
AKAP4,AKAP4,ENSG00000147081,
AKAP6,AKAP6,ENSG00000151320,Intellectual Disability
AKAP9,AKAP9,,
AKR1C2,AKR1C2,ENSG00000151632,46XY sex reversal 8 614279
AKR1D1,AKR1D1,ENSG00000122787,"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 2"
AKT1,AKT1,ENSG00000142208,PROTEUS SYNDROME
AKT2,AKT2,ENSG00000105221,"HIHGHH;Hypoinsulinemic hypoglycemia with hemihypertrophy;Hypoinsulinemic hypoglycemia with hemihypertrophy,240900;Hypoinsulinemic hypoglycemia with hemihypertrophy, 240900"
AKT3,AKT3,ENSG00000117020,HEMIMEGALENCEPHALY AKT3
ALAD,ALAD,ENSG00000148218,ACUTE HEPATIC PORPHYRIA
ALAS2,ALAS2,ENSG00000158578,"Anemia, sideroblastic, 1 300751"
ALB,ALB,,
ALDH18A1,ALDH18A1,ENSG00000059573,"CUTIS LAXA, AUTOSOMAL DOMINANT 3;SPASTIC PARAPLEGIA 9, AUTOSOMAL DOMINANT;MENTAL RETARDATION-JOINT HYPERMOBILITY-SKIN LAXITY WITH OR WITHOUT METABOLIC ABNORMALITIES"
ALDH1A2,ALDH1A2,,
ALDH1A3,ALDH1A3,ENSG00000184254,ANOPHTHALMIA/MICROPHTHALMIA
ALDH1B1,ALDH1B1,ENSG00000137124,No OMIM phenotype;Succinic semialdehyde dehydrogenase deficiency
ALDH3A2,ALDH3A2,ENSG00000072210,SJOEGREN-LARSSON SYNDROME
ALDH4A1,ALDH4A1,ENSG00000159423,HYPERPROLINEMIA TYPE 2
ALDH5A1,ALDH5A1,ENSG00000112294,SUCCINATE SEMIALDEHYDE DEHYDROGENASE DEFICIENCY
ALDH6A1,ALDH6A1,ENSG00000119711,
ALDH7A1,ALDH7A1,ENSG00000164904,PYRIDOXINE-DEPENDENT EPILEPSY
ALDOA,ALDOA,ENSG00000149925,GLYCOGEN STORAGE DISEASE XII
ALDOB,ALDOB,ENSG00000136872,HEREDITARY FRUCTOSE INTOLERANCE
ALG1,ALG1,ENSG00000033011,ALG1-CDG
ALG11,ALG11,ENSG00000253710,ALG11-CDG
ALG12,ALG12,ENSG00000182858,CONGENITAL DISORDER OF GLYCOSYLATION TYPE 1G
ALG13,ALG13,ENSG00000101901,"EPILEPTIC ENCEPHALOPATHY;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IS;EPILEPTIC ENCEPHALOPATHIES."
ALG14,ALG14,ENSG00000172339,"Congenital myasthenic syndrome;?Myasthenic syndrome, congenital, 15, without tubular aggregates, 616227"
ALG2,ALG2,ENSG00000119523,ALG2-CDG
ALG3,ALG3,ENSG00000214160,ALG3-CDG
ALG6,ALG6,ENSG00000088035,ALG6-CDG
ALG8,ALG8,ENSG00000159063,ALG8-CDG
ALG9,ALG9,ENSG00000086848,ALG9-CDG
ALKBH8,ALKBH8,ENSG00000137760,"Intellectual developmental disorder, autosomal recessive 71, 618504;Global developmental delay;Seizures;Intellectual Disability;Developmental Delay;Intellectual disability"
ALMS1,ALMS1,ENSG00000116127,ALSTROM SYNDROME
ALOX12B,ALOX12B,,
ALOXE3,ALOXE3,,
ALPI,ALPI,ENSG00000163295,Autoinflammatory Disorders;ALPI deficiency;Inflammatory bowel disease
ALPL,ALPL,ENSG00000162551,HYPOPHOSPHATASIA
ALS2,ALS2,ENSG00000003393,ALS2-RELATED DISORDERS
ALX1,ALX1,ENSG00000180318,FRONTONASAL DYSPLASIA TYPE 3
ALX3,ALX3,ENSG00000156150,FRONTONASAL DYSPLASIA TYPE 1
ALX4,ALX4,ENSG00000052850,FRONTONASAL DYSPLASIA 2;PARIETAL FORAMINA 2
AMACR,AMACR,ENSG00000242110,"Neonatal and Adult Cholestasis;Bile acid synthesis defect, congenital, 4 214950"
AMELX,AMELX,,
AMER1,AMER1,ENSG00000184675,OSTEOPATHIA STRIATA WITH CRANIAL SCLEROSIS
AMMECR1,AMMECR1,ENSG00000101935,"Short stature;Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis, 300990"
AMN,AMN,ENSG00000166126,"Megaloblastic anemia-1, Norwegian type, 261100"
AMPD1,AMPD1,ENSG00000116748,Myoadenylate deaminase deficiency (Disorders of purine metabolism);Myopathy due to myoadenylate deaminase deficiency 615511
AMPD2,AMPD2,ENSG00000116337,PONTOCEREBELLAR HYPOPLASIA
AMT,AMT,ENSG00000145020,GLYCINE ENCEPHALOPATHY
ANAPC1,ANAPC1,ENSG00000153107,Rothmund-Thomson Syndrome Type 1
ANK1,ANK1,ENSG00000029534,"RBC membrane abnormality;Spherocytosis, type 1,182900"
ANK2,ANK2,,
ANK3,ANK3,ENSG00000151150,"?Mental retardation, autosomal recessive, 37 615493"
ANKH,ANKH,ENSG00000154122,CHONDROCALCINOSIS 2;CRANIOMETAPHYSEAL DYSPLASIA JACKSON TYPE
ANKLE2,ANKLE2,ENSG00000176915,"?Microcephaly 16, primary, autosomal recessive, 616681"
ANKRD1,ANKRD1,,
ANKRD11,ANKRD11,ENSG00000167522,KBG SYNDROME
ANKRD26,ANKRD26,ENSG00000107890,THROMBOCYTOPENIA 2
ANKRD34A,ANKRD34A,ENSG00000181039,Thrombocytopenia Absent-Radius Syndrome
ANKRD35,ANKRD35,ENSG00000198483,Thrombocytopenia Absent-Radius Syndrome
ANKS6,ANKS6,ENSG00000165138,
ANLN,ANLN,,
ANO10,ANO10,ENSG00000160746,"Spinocerebellar ataxia, autosomal recessive 10, 613728"
ANO3,ANO3,ENSG00000134343,"Dystonia 24, 615034;familial form of cranio-cervical dystonia"
ANO5,ANO5,ENSG00000171714,MIYOSHI MUSCULAR DYSTROPHY TYPE 3;GNATHODIAPHYSEAL DYSPLASIA
ANO6,ANO6,ENSG00000177119,262890 Scott syndrome
ANOS1,ANOS1,ENSG00000011201,Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1) 308700
ANTXR1,ANTXR1,ENSG00000169604,GAPO SYNDROME
ANTXR2,ANTXR2,ENSG00000163297,Hyaline fibromatosis syndrome 228600
ANXA3,ANXA3,ENSG00000138772,unknown equinus deformity
AOX1,AOX1,ENSG00000138356,Xanthinuria type II (Disorders of purine metabolism)
AP1B1,AP1B1,ENSG00000100280,Failure to thrive;Abnormality of the skin;Hearing abnormality;Abnormality of copper homeostasis;Global developmental delay;Intellectual disability
AP1S1,AP1S1,ENSG00000106367,"MEDNIK syndrome, 609313;MEDNIK syndrome;mental retardation, enteropathy, deafness, peripheral neuropathy, ichthyosis and keratoderma syndrome"
AP1S2,AP1S2,ENSG00000182287,MENTAL RETARDATION X-LINKED TYPE 59
AP1S3,AP1S3,ENSG00000152056,"Pustular psoriasis, 616106;Pustular psoriasis;Autoinflammatory Disorders"
AP2M1,AP2M1,ENSG00000161203,"Intellectual developmental disorder 60 with seizures, 618587;Seizures;Ataxia;Generalized hypotonia;Intellectual disability;Global developmental delay;Autistic behavior"
AP3B1,AP3B1,ENSG00000132842,Hermansky-Pudlak syndrome 2 608233
AP3B2,AP3B2,ENSG00000103723,Epileptic Encephalopathy with Optic Atrophy
AP3D1,AP3D1,ENSG00000065000,617050 ?Hermansky-Pudlak syndrome 10
AP4B1,AP4B1,ENSG00000134262,CEREBRAL PALSY SPASTIC QUADRIPLEGIC TYPE 5
AP4E1,AP4E1,ENSG00000081014,CEREBRAL PALSY SPASTIC QUADRIPLEGIC TYPE 4
AP4M1,AP4M1,ENSG00000221838,CEREBRAL PALSY SPASTIC QUADRIPLEGIC TYPE 3
AP4S1,AP4S1,ENSG00000100478,CEREBRAL PALSY SPASTIC QUADRIPLEGIC TYPE 6
AP5Z1,AP5Z1,ENSG00000242802,"Spastic Paraplegia, Recessive;Spastic paraplegia 48, autosomal recessive"
APC,APC,,
APC2,APC2,ENSG00000115266,Global developmental delay;Intellectual disability;Seizures;Morphological abnormality of the central nervous system
APOA1,APOA1,ENSG00000118137,
APOA5,APOA5,ENSG00000110243,
APOB,APOB,ENSG00000084674,
APOC2,APOC2,ENSG00000234906,
APOE,APOE,ENSG00000130203,
APOL1,APOL1,ENSG00000100342,
APOPT1,APOPT1,ENSG00000256053,MITOCHONDRIAL COMPLEX IV DEFICIENCY
APP,APP,,
APRT,APRT,ENSG00000198931,
APTX,APTX,ENSG00000137074,ATAXIA WITH OCULOMOTOR APRAXIA 1
AQP1,AQP1,,
AQP7,AQP7,ENSG00000165269,
AR,AR,ENSG00000169083,ANDROGEN INSENSITIVITY SYNDROME;SPINAL AND BULBAR MUSCULAR ATROPHY
ARCN1,ARCN1,ENSG00000095139,"Microcephalic dwarfism;Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay, 617164"
ARFGEF2,ARFGEF2,ENSG00000124198,PERIVENTRICULAR HETEROTOPIA WITH MICROCEPHALY
ARG1,ARG1,ENSG00000118520,ARGININEMIA
ARHGAP24,ARHGAP24,ENSG00000138639,
ARHGAP26,ARHGAP26,ENSG00000145819,"Myelodysplastic syndrome (MDS), Paediatric;Leukemia, juvenile myelomonocytic, somatic 	607785"
ARHGAP29,ARHGAP29,ENSG00000137962,cleft lip with or without cleft palate;Cleft palate
ARHGAP31,ARHGAP31,ENSG00000031081,ADAMS-OLIVER SYNDROME 1
ARHGAP36,ARHGAP36,ENSG00000147256,
ARHGAP6,ARHGAP6,ENSG00000047648,
ARHGDIA,ARHGDIA,ENSG00000141522,"Nephrotic syndrome, type 8 615244"
ARHGEF1,ARHGEF1,ENSG00000076928,"Predominantly Antibody Deficiencies;Recurrent infections, bronchiectasis;Immunodeficiency 62, 618459;ARHGEF1 deficiency"
ARHGEF18,ARHGEF18,,
ARHGEF2,ARHGEF2,ENSG00000116584,"?Neurodevelopmental disorder with midbrain and hindbrain malformations, 617523"
ARHGEF4,ARHGEF4,ENSG00000136002,"developmental delay, ADHD, Aspergers' syndrome and other neurobehavioral abnormalities"
ARHGEF6,ARHGEF6,ENSG00000129675,"Mental retardation, X-linked 46, 300436;Mental Retardation, X-linked;MENTAL RETARDATION X-LINKED TYPE 46"
ARHGEF9,ARHGEF9,ENSG00000131089,"Epileptic encephalopathy, early infantile, 8 300607"
ARID1A,ARID1A,ENSG00000117713,COFFIN-SIRIS SYNDROME
ARID1B,ARID1B,ENSG00000049618,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 12;COFFIN SIRIS SYNDROME"
ARID2,ARID2,ENSG00000189079,ARID2-Coffin-Siris like disorder
ARIH1,ARIH1,ENSG00000166233,
ARL13B,ARL13B,ENSG00000169379,"Joubert syndrome 8, 612291"
ARL14EP,ARL14EP,ENSG00000152219,AUTOSOMAL RECESSIVE MENTAL RETARDATION
ARL2BP,ARL2BP,,
ARL3,ARL3,ENSG00000138175,"JOUBERT SYNDROME, 614615"
ARL6,ARL6,ENSG00000113966,BARDET-BIEDL SYNDROME TYPE 3;RETINITIS PIGMENTOSA TYPE 55
ARL6IP1,ARL6IP1,ENSG00000170540,Spastic paraplegia
ARMC4,ARMC4,ENSG00000169126,"CILIARY DYSKINESIA, PRIMARY, 23"
ARMC8,ARMC8,ENSG00000114098,Polydactyly
ARMC9,ARMC9,ENSG00000135931,Joubert syndrome 30
ARPC1B,ARPC1B,ENSG00000130429,617718 Platelet abnormalities with eosinophilia and immune-mediated inflammatory disease
ARSA,ARSA,ENSG00000100299,ARYLSULFATASE A DEFICIENCY
ARSB,ARSB,ENSG00000113273,MUCOPOLYSACCHARIDOSIS TYPE 6
ARSE,ARSE,ENSG00000157399,"CHONDRODYSPLASIA PUNCTATA 1, X-LINKED"
ARSF,ARSF,ENSG00000062096,
ARSG,ARSG,ENSG00000141337,neuronal ceroid lipofuscinosis
ARSI,ARSI,ENSG00000183876,
ARV1,ARV1,ENSG00000173409,"Epileptic encephalopathy, early infantile, 38 617020"
ARX,ARX,ENSG00000004848,PARTINGTON SYNDROME;MENTAL RETARDATION X-LINKED ARX-RELATED;LISSENCEPHALY X-LINKED TYPE 2;AGENESIS OF THE CORPUS CALLOSUM WITH ABNORMAL GENITALIA;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 1
ASAH1,ASAH1,ENSG00000104763,SPINAL MUSCULAR ATROPHY ASSOCIATED WITH PROGRESSIVE MYOCLONIC EPILEPSY;FARBER LIPOGRANULOMATOSIS
ASB12,ASB12,ENSG00000198881,
ASCC1,ASCC1,ENSG00000138303,spinal muscular atrophy;arthrogryposis;fetal akinesia;hypotonia;contractures
ASCC3,ASCC3,ENSG00000112249,AUTOSOMAL RECESSIVE MENTAL RETARDATION
ASCL1,ASCL1,ENSG00000139352,AUTOSOMAL RECESSIVE MENTAL RETARDATION
ASH1L,ASH1L,ENSG00000116539,"Mental retardation, autosomal dominant 52, 617796;intellectual disability"
ASL,ASL,ENSG00000126522,ARGININOSUCCINATE LYASE DEFICIENCY
ASMT,ASMT,ENSG00000196433,
ASMTL,ASMTL,ENSG00000169093,
ASNS,ASNS,ENSG00000070669,Asparagine synthetase deficiency 615574
ASPA,ASPA,ENSG00000108381,CANAVAN DISEASE
ASPH,ASPH,ENSG00000198363,"FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS"
ASPM,ASPM,ENSG00000066279,PRIMARY AUTOSOMAL RECESSIVE MICROCEPHALY
ASS1,ASS1,ENSG00000130707,CITRULLINEMIA TYPE I
ASXL1,ASXL1,ENSG00000171456,BOHRING-OPITZ SYNDROME
ASXL2,ASXL2,ENSG00000143970,"Developmental delay, macrocephaly, and dysmorphic features"
ASXL3,ASXL3,ENSG00000141431,BAINBRIDGE-ROPERS SYNDROME
ATAD1,ATAD1,ENSG00000138138,"Hyperekplexia 4, 618011"
ATAD3A,ATAD3A,ENSG00000197785,"ATAD3A disorder - global developmental delay, hypotonia, optic atrophy, axonal neuropathy, and hypertrophic cardiomyopathy;ATAD3A disorder -  global developmental delay, hypotonia, optic atrophy, axonal neuropathy, and hypertrophic cardiomyopathy;Harel-Yoon syndrome, 617183"
ATAD3B,ATAD3B,ENSG00000160072,Influence on AIDS progression;No OMIM phenotype
ATCAY,ATCAY,ENSG00000167654,"Ataxia, cerebellar, Cayman type, 601238"
ATF6,ATF6,,
ATG16L1,ATG16L1,,
ATIC,ATIC,ENSG00000138363,AICA-RIBOSURIA
ATL1,ATL1,ENSG00000198513,"Spastic paraplegia 3A, autosomal dominant,182600;Spastic Paraplegia, Dominant"
ATM,ATM,ENSG00000149311,ATAXIA-TELANGIECTASIA
ATN1,ATN1,ENSG00000111676,"Congenital hypotonia, epilepsy, developmental delay, and digital anomalies, 618494;Global developmental delay;Intellectual disability;Seizures;Generalized hypotonia"
ATOH7,ATOH7,ENSG00000179774,RETINAL NON-ATTACHMENT CONGENITAL NON-SYNDROMIC 221900
ATP13A2,ATP13A2,ENSG00000159363,PARKINSON DISEASE 9
ATP13A3,ATP13A3,,
ATP1A1,ATP1A1,ENSG00000163399,Hypomagnesemia;Seizures;Intellectual disability
ATP1A2,ATP1A2,ENSG00000018625,"Alternating hemiplegia of childhood 1, 104290;Migraine, familial basilar, 602481;Migraine, familial hemiplegic, 2, 602481;benign familial infantile convulsions;epilepsy and migraine;occipitotemporal epilepsy;infantile epileptic syndrome"
ATP1A3,ATP1A3,ENSG00000105409,RAPID-ONSET DYSTONIA-PARKINSONISM;ALTERNATING HEMIPLEGIA OF CHILDHOOD
ATP2A1,ATP2A1,ENSG00000196296,"Brody myopathy, 601003"
ATP2A2,ATP2A2,ENSG00000174437,Darier disease 124200
